id,pop,domain,Brazil
#IBGEID_3529807,12908,BRA,209346619
#IBGEID_3529906,19779,BRA,209346619
#IBGEID_3530003,3086,BRA,209346619
#IBGEID_3530102,29564,BRA,209346619
#IBGEID_3530201,18259,BRA,209346619
#IBGEID_3530300,59824,BRA,209346619
#IBGEID_3530409,4871,BRA,209346619
#IBGEID_3530508,68885,BRA,209346619
#IBGEID_3530607,445842,BRA,209346619
#IBGEID_3530706,151888,BRA,209346619
#IBGEID_3530805,93189,BRA,209346619
#IBGEID_3530904,3493,BRA,209346619
#IBGEID_3531001,2259,BRA,209346619
#IBGEID_3531100,56702,BRA,209346619
#IBGEID_3531209,8038,BRA,209346619
#IBGEID_3531308,50498,BRA,209346619
#IBGEID_3531407,25087,BRA,209346619
#IBGEID_3531506,19008,BRA,209346619
#IBGEID_3531605,4166,BRA,209346619
#IBGEID_3531704,4653,BRA,209346619
#IBGEID_3531803,59772,BRA,209346619
#IBGEID_3531902,32968,BRA,209346619
#IBGEID_3532009,13622,BRA,209346619
#IBGEID_3532058,4758,BRA,209346619
#IBGEID_3532108,4486,BRA,209346619
#IBGEID_3532157,3141,BRA,209346619
#IBGEID_3532207,4857,BRA,209346619
#IBGEID_3532306,6661,BRA,209346619
#IBGEID_3532405,18524,BRA,209346619
#IBGEID_3532504,8930,BRA,209346619
#IBGEID_3532603,11478,BRA,209346619
#IBGEID_3532702,5213,BRA,209346619
#IBGEID_3532801,6973,BRA,209346619
#IBGEID_3532827,9755,BRA,209346619
#IBGEID_3532843,1881,BRA,209346619
#IBGEID_3532868,1267,BRA,209346619
#IBGEID_3532900,11186,BRA,209346619
#IBGEID_3533007,21500,BRA,209346619
#IBGEID_3533106,2316,BRA,209346619
#IBGEID_3533205,3969,BRA,209346619
#IBGEID_3533254,5830,BRA,209346619
#IBGEID_3533304,4101,BRA,209346619
#IBGEID_3533403,60174,BRA,209346619
#IBGEID_3533502,41052,BRA,209346619
#IBGEID_3533601,7432,BRA,209346619
#IBGEID_3533700,4289,BRA,209346619
#IBGEID_3533809,2496,BRA,209346619
#IBGEID_3533908,54772,BRA,209346619
#IBGEID_3534005,4381,BRA,209346619
#IBGEID_3534104,6515,BRA,209346619
#IBGEID_3534203,7066,BRA,209346619
#IBGEID_3534302,44028,BRA,209346619
#IBGEID_3534401,698418,BRA,209346619
#IBGEID_3534500,2603,BRA,209346619
#IBGEID_3534609,32879,BRA,209346619
#IBGEID_3534708,113542,BRA,209346619
#IBGEID_3534757,10361,BRA,209346619
#IBGEID_3534807,8562,BRA,209346619
#IBGEID_3534906,14197,BRA,209346619
#IBGEID_3535002,12957,BRA,209346619
#IBGEID_3535101,13275,BRA,209346619
#IBGEID_3535200,9283,BRA,209346619
#IBGEID_3535309,22221,BRA,209346619
#IBGEID_3535408,15777,BRA,209346619
#IBGEID_3535507,45703,BRA,209346619
#IBGEID_3535606,18222,BRA,209346619
#IBGEID_3535705,6454,BRA,209346619
#IBGEID_3535804,20197,BRA,209346619
#IBGEID_3535903,4078,BRA,209346619
#IBGEID_3536000,10964,BRA,209346619
#IBGEID_3536109,6435,BRA,209346619
#IBGEID_3536208,19648,BRA,209346619
#IBGEID_3536257,2161,BRA,209346619
#IBGEID_3536307,14670,BRA,209346619
#IBGEID_3536406,7366,BRA,209346619
#IBGEID_3536505,109424,BRA,209346619
#IBGEID_3536570,1833,BRA,209346619
#IBGEID_3536604,8945,BRA,209346619
#IBGEID_3536703,46687,BRA,209346619
#IBGEID_3536802,6093,BRA,209346619
#IBGEID_3536901,2494,BRA,209346619
#IBGEID_3537008,16744,BRA,209346619
#IBGEID_3537107,47919,BRA,209346619
#IBGEID_3537156,3093,BRA,209346619
#IBGEID_3537206,11331,BRA,209346619
#IBGEID_3537305,63407,BRA,209346619
#IBGEID_3537404,25669,BRA,209346619
#IBGEID_3537503,8668,BRA,209346619
#IBGEID_3537602,68284,BRA,209346619
#IBGEID_3537701,5980,BRA,209346619
#IBGEID_3537800,55348,BRA,209346619
#IBGEID_3537909,29185,BRA,209346619
#IBGEID_3538006,168328,BRA,209346619
#IBGEID_3538105,17049,BRA,209346619
#IBGEID_3538204,15207,BRA,209346619
#IBGEID_3538303,3692,BRA,209346619
#IBGEID_3538501,13657,BRA,209346619
#IBGEID_3538600,27303,BRA,209346619
#IBGEID_3538709,404142,BRA,209346619
#IBGEID_3538808,29806,BRA,209346619
#IBGEID_3538907,25492,BRA,209346619
#IBGEID_3539004,11417,BRA,209346619
#IBGEID_3539103,18895,BRA,209346619
#IBGEID_3539202,27527,BRA,209346619
#IBGEID_3539301,76409,BRA,209346619
#IBGEID_3539400,13636,BRA,209346619
#IBGEID_3539509,39719,BRA,209346619
#IBGEID_3539608,5237,BRA,209346619
#IBGEID_3539707,3550,BRA,209346619
#IBGEID_3539806,117452,BRA,209346619
#IBGEID_3539905,6059,BRA,209346619
#IBGEID_3540002,22014,BRA,209346619
#IBGEID_3540101,3416,BRA,209346619
#IBGEID_3540200,49961,BRA,209346619
#IBGEID_3540259,4628,BRA,209346619
#IBGEID_3540309,2577,BRA,209346619
#IBGEID_3540408,4169,BRA,209346619
#IBGEID_3540507,9925,BRA,209346619
#IBGEID_3540606,53098,BRA,209346619
#IBGEID_3540705,56150,BRA,209346619
#IBGEID_3540754,24643,BRA,209346619
#IBGEID_3540804,17361,BRA,209346619
#IBGEID_3540853,4093,BRA,209346619
#IBGEID_3540903,21496,BRA,209346619
#IBGEID_3541000,325073,BRA,209346619
#IBGEID_3541059,5261,BRA,209346619
#IBGEID_3541109,4094,BRA,209346619
#IBGEID_3541208,13106,BRA,209346619
#IBGEID_3541307,44200,BRA,209346619
#IBGEID_3541406,228743,BRA,209346619
#IBGEID_3541505,39516,BRA,209346619
#IBGEID_3541604,40432,BRA,209346619
#IBGEID_3541653,3804,BRA,209346619
#IBGEID_3541703,14109,BRA,209346619
#IBGEID_3541802,3406,BRA,209346619
#IBGEID_3541901,13420,BRA,209346619
#IBGEID_3542008,6638,BRA,209346619
#IBGEID_3542107,9076,BRA,209346619
#IBGEID_3542206,29707,BRA,209346619
#IBGEID_3542305,3851,BRA,209346619
#IBGEID_3542404,20261,BRA,209346619
#IBGEID_3542503,9621,BRA,209346619
#IBGEID_3542602,56322,BRA,209346619
#IBGEID_3542701,7593,BRA,209346619
#IBGEID_3542800,3340,BRA,209346619
#IBGEID_3542909,13219,BRA,209346619
#IBGEID_3543006,16444,BRA,209346619
#IBGEID_3543105,4718,BRA,209346619
#IBGEID_3543204,4541,BRA,209346619
#IBGEID_3543238,2225,BRA,209346619
#IBGEID_3543253,7673,BRA,209346619
#IBGEID_3543303,123393,BRA,209346619
#IBGEID_3543402,703293,BRA,209346619
#IBGEID_3543501,5524,BRA,209346619
#IBGEID_3543600,3629,BRA,209346619
#IBGEID_3543709,10799,BRA,209346619
#IBGEID_3543808,9981,BRA,209346619
#IBGEID_3543907,206424,BRA,209346619
#IBGEID_3544004,35228,BRA,209346619
#IBGEID_3544103,50846,BRA,209346619
#IBGEID_3544202,12518,BRA,209346619
#IBGEID_3544251,16643,BRA,209346619
#IBGEID_3544301,10712,BRA,209346619
#IBGEID_3544400,3128,BRA,209346619
#IBGEID_3544509,3148,BRA,209346619
#IBGEID_3544608,5590,BRA,209346619
#IBGEID_3544707,2432,BRA,209346619
#IBGEID_3544806,6331,BRA,209346619
#IBGEID_3544905,11890,BRA,209346619
#IBGEID_3545001,17139,BRA,209346619
#IBGEID_3545100,5300,BRA,209346619
#IBGEID_3545159,8286,BRA,209346619
#IBGEID_3545209,118663,BRA,209346619
#IBGEID_3545308,45422,BRA,209346619
#IBGEID_3545407,9331,BRA,209346619
#IBGEID_3545506,4302,BRA,209346619
#IBGEID_3545605,15480,BRA,209346619
#IBGEID_3545704,6008,BRA,209346619
#IBGEID_3545803,193475,BRA,209346619
#IBGEID_3546009,14788,BRA,209346619
#IBGEID_3546108,2115,BRA,209346619
#IBGEID_3546207,4503,BRA,209346619
#IBGEID_3546256,2139,BRA,209346619
#IBGEID_3546306,34361,BRA,209346619
#IBGEID_3546405,47673,BRA,209346619
#IBGEID_3546504,5599,BRA,209346619
#IBGEID_3546603,32322,BRA,209346619
#IBGEID_3546702,26898,BRA,209346619
#IBGEID_3546801,57386,BRA,209346619
#IBGEID_3546900,8817,BRA,209346619
#IBGEID_3547007,6173,BRA,209346619
#IBGEID_3547106,2939,BRA,209346619
#IBGEID_3547205,1487,BRA,209346619
#IBGEID_3547304,139447,BRA,209346619
#IBGEID_3547403,2498,BRA,209346619
#IBGEID_3547502,27557,BRA,209346619
#IBGEID_3547601,26540,BRA,209346619
#IBGEID_3547650,1545,BRA,209346619
#IBGEID_3547700,20878,BRA,209346619
#IBGEID_3547809,718773,BRA,209346619
#IBGEID_3547908,6929,BRA,209346619
#IBGEID_3548005,23310,BRA,209346619
#IBGEID_3548054,8420,BRA,209346619
#IBGEID_3548104,5954,BRA,209346619
#IBGEID_3548203,6811,BRA,209346619
#IBGEID_3548302,3111,BRA,209346619
#IBGEID_3548401,4777,BRA,209346619
#IBGEID_3548500,433311,BRA,209346619
#IBGEID_3548609,10878,BRA,209346619
#IBGEID_3548708,838936,BRA,209346619
#IBGEID_3548807,161127,BRA,209346619
#IBGEID_3548906,251983,BRA,209346619
#IBGEID_3549003,2821,BRA,209346619
#IBGEID_3549102,91211,BRA,209346619
#IBGEID_3549201,2568,BRA,209346619
#IBGEID_3549250,1922,BRA,209346619
#IBGEID_3549300,2105,BRA,209346619
#IBGEID_3549409,51888,BRA,209346619
#IBGEID_3549508,8928,BRA,209346619
#IBGEID_3549607,4147,BRA,209346619
#IBGEID_3549706,54946,BRA,209346619
#IBGEID_3549805,460671,BRA,209346619
#IBGEID_3549904,721944,BRA,209346619
#IBGEID_3549953,15825,BRA,209346619
#IBGEID_3550001,10687,BRA,209346619
#IBGEID_3550100,40954,BRA,209346619
#IBGEID_3550209,32931,BRA,209346619
#IBGEID_3550407,35653,BRA,209346619
#IBGEID_3550506,7666,BRA,209346619
#IBGEID_3550605,91016,BRA,209346619
#IBGEID_3550704,88980,BRA,209346619
#IBGEID_3550803,12182,BRA,209346619
#IBGEID_3550902,15322,BRA,209346619
#IBGEID_3551009,365798,BRA,209346619
#IBGEID_3551108,10285,BRA,209346619
#IBGEID_3551207,3638,BRA,209346619
#IBGEID_3551306,3513,BRA,209346619
#IBGEID_3551405,14662,BRA,209346619
#IBGEID_3551504,45107,BRA,209346619
#IBGEID_3551603,29229,BRA,209346619
#IBGEID_3551702,125815,BRA,209346619
#IBGEID_3551801,12832,BRA,209346619
#IBGEID_3551900,17496,BRA,209346619
#IBGEID_3552007,6302,BRA,209346619
#IBGEID_3552106,41005,BRA,209346619
#IBGEID_3552205,679378,BRA,209346619
#IBGEID_3552304,7718,BRA,209346619
#IBGEID_3552403,282441,BRA,209346619
#IBGEID_3552502,297637,BRA,209346619
#IBGEID_3552551,3963,BRA,209346619
#IBGEID_3552601,12407,BRA,209346619
#IBGEID_3552700,16496,BRA,209346619
#IBGEID_3552809,289664,BRA,209346619
#IBGEID_3552908,6285,BRA,209346619
#IBGEID_3553005,13859,BRA,209346619
#IBGEID_3553104,6295,BRA,209346619
#IBGEID_3553203,5566,BRA,209346619
#IBGEID_3553302,23207,BRA,209346619
#IBGEID_3553401,25967,BRA,209346619
#IBGEID_3553500,7807,BRA,209346619
#IBGEID_3553609,12960,BRA,209346619
#IBGEID_3553658,2811,BRA,209346619
#IBGEID_3553708,57177,BRA,209346619
#IBGEID_3553807,23218,BRA,209346619
#IBGEID_3553856,5852,BRA,209346619
#IBGEID_3553906,7468,BRA,209346619
#IBGEID_3553955,15000,BRA,209346619
#IBGEID_3554003,121766,BRA,209346619
#IBGEID_3554102,314924,BRA,209346619
#IBGEID_3554201,4532,BRA,209346619
#IBGEID_3554300,23148,BRA,209346619
#IBGEID_3554409,9370,BRA,209346619
#IBGEID_3554508,42076,BRA,209346619
#IBGEID_3554607,2658,BRA,209346619
#IBGEID_3554656,2412,BRA,209346619
#IBGEID_3554706,10010,BRA,209346619
#IBGEID_3554755,1724,BRA,209346619
#IBGEID_3554805,47185,BRA,209346619
#IBGEID_3554904,5807,BRA,209346619
#IBGEID_3554953,6894,BRA,209346619
#IBGEID_3555000,65524,BRA,209346619
#IBGEID_3555109,15495,BRA,209346619
#IBGEID_3555208,2016,BRA,209346619
#IBGEID_3555307,1727,BRA,209346619
#IBGEID_3555356,6309,BRA,209346619
#IBGEID_3555406,90799,BRA,209346619
#IBGEID_3555505,4780,BRA,209346619
#IBGEID_3555604,10110,BRA,209346619
#IBGEID_3555703,1844,BRA,209346619
#IBGEID_3555802,9114,BRA,209346619
#IBGEID_3555901,1165,BRA,209346619
#IBGEID_3556008,13809,BRA,209346619
#IBGEID_3556107,13326,BRA,209346619
#IBGEID_3556206,129193,BRA,209346619
#IBGEID_3556305,26480,BRA,209346619
#IBGEID_3556354,10537,BRA,209346619
#IBGEID_3556404,42845,BRA,209346619
#IBGEID_3556453,52597,BRA,209346619
#IBGEID_3556503,121838,BRA,209346619
#IBGEID_3556602,10843,BRA,209346619
#IBGEID_3556701,78728,BRA,209346619
#IBGEID_3556800,18898,BRA,209346619
#IBGEID_3556909,8810,BRA,209346619
#IBGEID_3556958,1840,BRA,209346619
#IBGEID_3557006,122480,BRA,209346619
#IBGEID_3557105,94547,BRA,209346619
#IBGEID_3557154,2718,BRA,209346619
#IBGEID_3557204,12418,BRA,209346619
#IBGEID_3557303,11304,BRA,209346619
#UF_RONDÔNIA,1777225,BRA,209346619
#UF_ACRE,881935,BRA,209346619
#UF_AMAZONAS,4144597,BRA,209346619
#UF_RORAIMA,605761,BRA,209346619
#UF_PARÁ,8602865,BRA,209346619
#UF_AMAPÁ,845731,BRA,209346619
#UF_TOCANTINS,1572866,BRA,209346619
#UF_MARANHÃO,7075181,BRA,209346619
#UF_PIAUÍ,3273227,BRA,209346619
#UF_CEARÁ,9132078,BRA,209346619
#UF_RIO GRANDE DO NORTE,3506853,BRA,209346619
#UF_PARAÍBA,4018127,BRA,209346619
#UF_PERNAMBUCO,9557071,BRA,209346619
#UF_ALAGOAS,3337357,BRA,209346619
#UF_SERGIPE,2298696,BRA,209346619
#UF_BAHIA,14873064,BRA,209346619
#UF_MINAS GERAIS,21168791,BRA,209346619
#UF_ESPIRITO SANTO,4018650,BRA,209346619
#UF_RIO DE JANEIRO,17264943,BRA,209346619
#UF_PARANÁ,11433957,BRA,209346619
#UF_SANTA CATARINA,7164788,BRA,209346619
#UF_RIO GRANDE DO SUL,11377239,BRA,209346619
#UF_MATO GROSSO DO SUL,2778986,BRA,209346619
#UF_MATO GROSSO,3484466,BRA,209346619
#UF_GOIÁS,7018354,BRA,209346619
#UF_DISTRITO FEDERAL,3015268,BRA,209346619
