,epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,datetime,days
111,11,2020-03-14,Brazil,TOTAL,TOTAL,0,0,36,142,0,121,0.0,0.06757,0.0,,,,,2020-03-14,18
112,12,2020-03-15,Brazil,AL,TOTAL,0,0,0,1,0,1,0.0,0.029960000000000004,0.0,,,,,2020-03-15,19
113,12,2020-03-15,Brazil,AM,TOTAL,0,0,0,2,0,1,0.0,0.048260000000000004,0.0,,,,,2020-03-15,19
114,12,2020-03-15,Brazil,BA,TOTAL,0,0,2,9,0,2,0.0,0.06051,0.0,,,,,2020-03-15,19
115,12,2020-03-15,Brazil,DF,TOTAL,0,0,6,14,0,8,0.0,0.4643,0.0,,,,,2020-03-15,19
116,12,2020-03-15,Brazil,ES,TOTAL,0,0,0,1,0,1,0.0,0.024880000000000003,0.0,,,,,2020-03-15,19
117,12,2020-03-15,Brazil,GO,TOTAL,0,0,0,4,0,3,0.0,0.05699,0.0,,,,,2020-03-15,19
118,12,2020-03-15,Brazil,MG,TOTAL,0,0,0,4,0,2,0.0,0.0189,0.0,,,,,2020-03-15,19
119,12,2020-03-15,Brazil,MS,TOTAL,0,0,0,2,0,0,0.0,0.07197,0.0,,,,,2020-03-15,19
120,12,2020-03-15,Brazil,PE,TOTAL,0,0,1,8,0,2,0.0,0.08371,0.0,,,,,2020-03-15,19
121,12,2020-03-15,Brazil,PR,TOTAL,0,0,0,6,0,6,0.0,0.05248,0.0,,,,,2020-03-15,19
122,12,2020-03-15,Brazil,RJ,TOTAL,0,0,2,24,0,24,0.0,0.13901,0.0,,,,,2020-03-15,19
123,12,2020-03-15,Brazil,RN,TOTAL,0,0,0,1,0,1,0.0,0.02852,0.0,,,,,2020-03-15,19
124,12,2020-03-15,Brazil,RS,TOTAL,0,0,0,6,0,6,0.0,0.052739999999999995,0.0,,,,,2020-03-15,19
125,12,2020-03-15,Brazil,SC,TOTAL,0,0,1,6,0,6,0.0,0.08374,0.0,,,,,2020-03-15,19
126,12,2020-03-15,Brazil,SE,TOTAL,0,0,0,1,0,1,0.0,0.0435,0.0,,,,,2020-03-15,19
127,12,2020-03-15,Brazil,SP,TOTAL,0,0,71,136,0,136,0.0,0.29617,0.0,,,,,2020-03-15,19
128,12,2020-03-15,Brazil,TOTAL,TOTAL,0,0,83,225,0,200,0.0,0.10707,0.0,,,,,2020-03-15,19
129,12,2020-03-16,Brazil,AL,TOTAL,0,0,0,1,0,1,0.0,0.029960000000000004,0.0,,,,,2020-03-16,20
130,12,2020-03-16,Brazil,AM,TOTAL,0,0,0,2,0,1,0.0,0.048260000000000004,0.0,,,,,2020-03-16,20
131,12,2020-03-16,Brazil,BA,TOTAL,0,0,1,10,0,2,0.0,0.06724,0.0,,,,,2020-03-16,20
132,12,2020-03-16,Brazil,CE,TOTAL,0,0,9,9,0,0,0.0,0.09855,0.0,,,,,2020-03-16,20
133,12,2020-03-16,Brazil,DF,TOTAL,0,0,5,19,0,13,0.0,0.63013,0.0,,,,,2020-03-16,20
134,12,2020-03-16,Brazil,ES,TOTAL,0,0,0,1,0,1,0.0,0.024880000000000003,0.0,,,,,2020-03-16,20
135,12,2020-03-16,Brazil,GO,TOTAL,0,0,5,9,0,3,0.0,0.12824000000000002,0.0,,,,,2020-03-16,20
136,12,2020-03-16,Brazil,MG,TOTAL,0,0,2,6,0,5,0.0,0.028339999999999997,0.0,,,,,2020-03-16,20
137,12,2020-03-16,Brazil,MS,TOTAL,0,0,2,4,0,2,0.0,0.14394,0.0,,,,,2020-03-16,20
138,12,2020-03-16,Brazil,PE,TOTAL,0,0,0,8,0,2,0.0,0.08371,0.0,,,,,2020-03-16,20
139,12,2020-03-16,Brazil,PR,TOTAL,0,0,0,6,0,6,0.0,0.05248,0.0,,,,,2020-03-16,20
140,12,2020-03-16,Brazil,RJ,TOTAL,0,0,7,31,0,31,0.0,0.17955,0.0,,,,,2020-03-16,20
141,12,2020-03-16,Brazil,RN,TOTAL,0,0,0,1,0,1,0.0,0.02852,0.0,,,,,2020-03-16,20
142,12,2020-03-16,Brazil,RS,TOTAL,0,0,2,8,0,6,0.0,0.07032000000000001,0.0,,,,,2020-03-16,20
143,12,2020-03-16,Brazil,SC,TOTAL,0,0,1,7,0,7,0.0,0.0977,0.0,,,,,2020-03-16,20
144,12,2020-03-16,Brazil,SE,TOTAL,0,0,4,5,0,1,0.0,0.21750999999999998,0.0,,,,,2020-03-16,20
145,12,2020-03-16,Brazil,SP,TOTAL,0,0,16,152,0,152,0.0,0.33102,0.0,,,,,2020-03-16,20
146,12,2020-03-16,Brazil,TOTAL,TOTAL,0,0,54,279,0,234,0.0,0.13276,0.0,,,,,2020-03-16,20
147,12,2020-03-17,Brazil,AC,TOTAL,0,0,3,3,0,0,0.0,0.34016,0.0,,,,,2020-03-17,21
148,12,2020-03-17,Brazil,AL,TOTAL,0,0,0,1,0,1,0.0,0.029960000000000004,0.0,,,,,2020-03-17,21
149,12,2020-03-17,Brazil,AM,TOTAL,0,0,0,2,0,1,0.0,0.048260000000000004,0.0,,,,,2020-03-17,21
150,12,2020-03-17,Brazil,BA,TOTAL,0,0,4,14,0,3,0.0,0.09412999999999999,0.0,,,,,2020-03-17,21
151,12,2020-03-17,Brazil,CE,TOTAL,0,0,1,10,0,5,0.0,0.1095,0.0,,,,,2020-03-17,21
152,12,2020-03-17,Brazil,DF,TOTAL,0,0,3,22,0,22,0.0,0.7296199999999999,0.0,,,,,2020-03-17,21
153,12,2020-03-17,Brazil,ES,TOTAL,0,0,0,1,0,1,0.0,0.024880000000000003,0.0,,,,,2020-03-17,21
154,12,2020-03-17,Brazil,GO,TOTAL,0,0,1,10,0,6,0.0,0.14248,0.0,,,,,2020-03-17,21
