inloco_name,ibge_name,distance_measure
Microrregião de Francisco Beltrão,Francisco Beltrão,0
Microrregião do Baixo Parnaíba Piauiense,Baixo Parnaíba Piauiense,0
Microrregião Montes Claros,Montes Claros,0
Microrregião Santa Teresa,Santa Teresa,0
Microrregião Aimorés,Aimorés,0
Microrregião do Litoral de Aracati,Litoral de Aracati,0
Microrregião de Alto Taquari,Alto Taquari,0
Microrregião de Conceição do Araguaia,Conceição do Araguaia,0
Microrregião de Cornélio Procópio,Cornélio Procópio,0
Microrregião de Dianópolis,Dianópolis,0
Microrregião de Itapipoca,Itapipoca,0
Microrregião Paracatu,Paracatu,0
Microrregião Apucarana,Apucarana,0
Microrregião de Barro,Barro,0
Microrregião da Chapada das Mangabeiras,Chapadas das Mangabeiras,1
Microrregião São Sebastiao do Paraíso,São Sebastião do Paraíso,1
Microrregião de Tucuruí,Tucuruí,0
Microrregião Itapecerica da Serra,Itapecerica da Serra,0
Microrregião de Jales,Jales,0
Microrregião de Rio Vermelho,Rio Vermelho,0
Microrregião de Santa Rita do Sapucaí,Santa Rita do Sapucaí,0
Microrregião de Araraquara,Araraquara,0
Microrregião do Vão do Paraná,Vão do Paranã,1
Microrregião de Auriflama,Auriflama,0
Microrregião de Jauru,Jauru,0
Microrregião de Pacajus,Pacajus,0
Microrregião de Assaí,Assaí,0
Microrregião de Lapa,Lapa,0
Microrregião de Seabra,Seabra,0
Microrregião Lagos,Lagos,0
Microrregião da Mata Meridional Pernanbucana,Mata Meridional Pernambucana,1
Microrregião de Santarém,Santarém,0
Microrregião de Amparo,Amparo,0
Microrregião de Arinos,Arinos,0
Microrregião Itaguara,Itaguara,0
Microrregião de Colíder,Colíder,0
Microrregião de Osasco,Osasco,0
Microrregião de Parecis,Parecis,0
Microrregião Vassouras,Vassouras,0
Microrregião de Araçatuba,Araçatuba,0
Microrregião de Aripuanã,Aripuanã,0
Microrregião Lavras,Lavras,0
Microrregião de Serra de São Miguel,Serra de São Miguel,0
Microrregião de Arari,Arari,0
Microrregião de Cruzeiro do Sul,Cruzeiro do Sul,0
Microrregião de Piracicaba,Piracicaba,0
Microrregião Ponte Nova,Ponte Nova,0
Microrregião de Rosário Oeste,Rosário Oeste,0
Microrregião de Itaparica,Itaparica,0
Microrregião Linhares,Linhares,0
Microrregião do Norte Araguaia,Norte Araguaia,0
Microrregião Nova Friburgo,Nova Friburgo,0
Microrregião Toledo,Toledo,0
Microrregião de Adamantina,Adamantina,0
Microrregião do Médio Mearim,Médio Mearim,0
Microrregião Patos de Minas,Patos de Minas,0
Microrregião de Rondonópolis,Rondonópolis,0
Microrregião de Salgueiro,Salgueiro,0
Microrregião de Coari,Coari,0
Microrregião de Rio Branco,Rio Branco,0
Microrregião de Tesouro,Tesouro,0
Microrregião do Alto Pantanal,Alto Pantanal,0
Microrregião de Angicos,Angicos,0
Microrregião de Itapetinga,Itapetinga,0
Microrregião de Vitória da Conquista,Vitória da Conquista,0
Microrregião de Alto Guaporé,Alto Guaporé,0
Microrregião Alvorada d'Oeste,Alvorada D'Oeste,1
Microrregião de Alta Floresta,Alta Floresta,0
Microrregião do Alto Solimões,Alto Solimões,0
Microrregião de Jaguarão,Jaguarão,0
Microrregião de Alto Teles Pires,Alto Teles Pires,0
Microrregião Bacia de São João,Bacia de São João,0
Microrregião de Pio IX,Pio IX,0
Microrregião de Santana do Ipanema,Santana do Ipanema,0
Microrregião de Sinop,Sinop,0
Microrregião Vilhena,Vilhena,0
Microrregião da Chapada dos Veadeiros,Chapada dos Veadeiros,0
Microrregião de Pau dos Ferros,Pau dos Ferros,0
Microrregião de Porto Alegre,Porto Alegre,0
Microrregião de Uruburetama,Uruburetama,0
Microrregião de Borborema Potiguar,Borborema Potiguar,0
Microrregião de Brumado,Brumado,0
Microrregião de Quitéria,Vitória,3
Microrregião de Serrana do Sertão Alagoano,Serrana do Sertão Alagoano,0
Microrregião de Sapé,Sapé,0
Microrregião do Alto Araguaia,Alto Araguaia,0
Microrregião de Cerro Largo,Cerro Largo,0
Microrregião de Livramento do Brumado,Livramento do Brumado,0
Microrregião de Madeira,Madeira,0
Microrregião de Amapá,Amapá,0
Microrregião do Baixo Pantanal,Baixo Pantanal,0
Microrregião de Ibiapaba,Ibiapaba,0
Microrregião do Litoral Sul,Litoral Sul,0
Microrregião do Litoral Sul,Litoral Sul,0
Microrregião do Litoral Sul,Litoral Sul,0
Microrregião do Litoral Sul,Litoral Sul,0
Microrregião de Natal,Natal,0
Microrregião de São Miguel dos Campos,São Miguel dos Campos,0
Microrregião Londrina,Londrina,0
Microrregião Palmeira dos Indios,Palmeira dos Índios,1
Microrregião de Cotegipe,Cotegipe,0
Microrregião Poços de Caldas,Poços de Caldas,0
Microrregião Araxá,Araxá,0
Microrregião de Erechim,Erechim,0
Microrregião Ibatí,Ibaiti,2
Microrregião de São Jerônimo,São Jerônimo,0
Microrregião Três Marias,Três Marias,0
Microrregião Barra de São Francisco,Barra de São Francisco,0
Microrregião de Campo Maior,Campo Maior,0
Microrregião Nanuque,Nanuque,0
Microrregião de Penedo,Penedo,0
Microrregião de São Bento do Sul,São Bento do Sul,0
Microrregião da Mata Alagoana,Mata Alagoana,0
Microrregião Faxinal,Faxinal,0
Microrregião Bom Despacho,Bom Despacho,0
Microrregião de Botucatu,Botucatu,0
Microrregião de Caririaçu,Caririaçu,0
Microrregião Serrana dos Quilombos,Serrana dos Quilombos,0
Microrregião Wenceslau Braz,Wenceslau Braz,0
Microrregião Janaúba,Janaúba,0
Microrregião do Baixo Jaguaribe,Baixo Jaguaribe,0
Microrregião Capelinha,Capelinha,0
Microrregião do Alto Médio Canindé,Alto Médio Canindé,0
Microrregião Porecatú,Porecatu,1
Microrregião da Serra do Pereiro,Serra do Pereiro,0
Microrregião Vitória,Vitória,0
Microrregião de Parauapebas,Parauapebas,0
Microrregião de Piedade,Piedade,0
Microrregião Pirapora,Pirapora,0
Microrregião de Cachoeira do Sul,Cachoeira do Sul,0
Microrregião da Chapada do Araripe,Chapada do Araripe,0
Microrregião de Sobral,Sobral,0
Microrregião de São Felix do Xingu,São Félix do Xingu,1
Microrregião de Brasiléia,Brasiléia,0
Microrregião de Ijuí,Ijuí,0
Microrregião de Tarauacá,Tarauacá,0
Microrregião Alegre,Alegre,0
Microrregião Guanhães,Guanhães,0
Microrregião de Guarabira,Guarabira,0
Microrregião de Sananduva,Sananduva,0
Microrregião de São Carlos,São Carlos,0
Microrregião de Tatuí,Tatuí,0
Microrregião de União da Vitória,União da Vitória,0
Microrregião Macacu-Caceribu,Macacu-Caceribu,0
Microrregião de Blumenau,Blumenau,0
Microrregião Serrana,Serrana,0
Microrregião Alfenas,Alfenas,0
Microrregião de Barretos,Barretos,0
Microrregião de Rio Claro,Rio Claro,0
Microrregião de Baixa Verde,Baixa Verde,0
Microrregião de Paulo Afonso,Paulo Afonso,0
Microrregião de Rio Preto da Eva,Rio Preto da Eva,0
Microrregião de Sena Madureira,Sena Madureira,0
Microrregião Bico do Papagaio,Bico do Papagaio,0
Microrregião Cacoal,Cacoal,0
Microrregião de Lageado-Estrela,Lajeado-Estrela,1
Microrregião do Médio Oeste,Médio Oeste,0
Microrregião de Óbidos,Óbidos,0
Microrregião Belo Horizonte,Belo Horizonte,0
Microrregião Foz do Iguaçu,Foz do Iguaçu,0
Microrregião de Gurupi,Gurupi,0
Microrregião de Gurupi,Gurupi,0
