"","State","City","0.001","0.005","0.1","0.2","0.4","0.5","0.6","0.8","1.0","1.2","1.4","1.6","1.8","2.0","2.5","3.0","Grupo_menor","Grupo_maior","Grupo"
"86","SP","BOTUCATU",20,21,21,20,19,20,19,20,18,19,18,18,18,19,18,18,"High Risk","High Risk","High Risk"
"87","SP","BRAGANÇA PAULISTA",15,16,16,15,14,15,14,15,13,15,13,13,13,14,14,13,"High Risk","High Risk","High Risk"
"88","SP","BRAÚNA",36,39,39,37,36,37,35,36,35,36,34,34,34,35,34,33,"Low Risk","Low Risk","Low Risk"
"89","SP","BREJO ALEGRE",36,41,42,41,38,39,38,38,36,37,36,35,36,36,35,35,"Low Risk","Low Risk","Low Risk"
"90","SP","BRODOWSKI",28,28,28,27,26,27,26,27,25,27,25,25,26,26,26,25,"Medium Risk","Medium Risk","Medium Risk"
"91","SP","BROTAS",25,26,26,25,24,25,24,25,23,25,23,23,24,24,24,23,"Medium Risk","Medium Risk","Medium Risk"
"92","SP","BURI",29,29,29,28,27,29,27,28,26,28,26,26,27,27,26,26,"Medium Risk","Medium Risk","Medium Risk"
"93","SP","BURITAMA",35,35,35,34,33,34,32,33,32,33,31,31,31,32,31,30,"Low Risk","Low Risk","Low Risk"
"94","SP","BURITIZAL",34,34,34,33,32,33,32,33,31,33,32,31,32,33,32,32,"Low Risk","Low Risk","Low Risk"
"95","SP","CABRÁLIA PAULISTA",35,35,35,34,32,34,32,33,31,33,31,31,31,32,31,31,"Low Risk","Low Risk","Low Risk"
"96","SP","CABREÚVA",18,19,19,18,17,18,17,18,16,17,16,16,16,17,16,16,"High Risk","High Risk","High Risk"
"97","SP","CAÇAPAVA",18,18,18,18,17,18,16,18,16,17,16,16,16,17,16,16,"High Risk","High Risk","High Risk"
"98","SP","CACHOEIRA PAULISTA",24,24,25,24,23,24,22,24,22,23,22,22,22,23,22,22,"Medium Risk","Medium Risk","Medium Risk"
"99","SP","CACONDE",31,32,32,31,30,31,29,31,29,30,29,28,29,30,29,28,"Medium Risk","Low Risk","Low Risk"
"100","SP","CAFELÂNDIA",31,31,31,30,29,30,29,30,29,30,29,28,29,29,29,28,"Medium Risk","Low Risk","Medium Risk"
"101","SP","CAIABU",36,37,37,36,34,36,34,35,33,34,33,32,33,34,33,32,"Low Risk","Low Risk","Low Risk"
"102","SP","CAIEIRAS",8,9,9,8,7,9,7,9,7,9,8,7,8,9,9,9,"High Risk","High Risk","High Risk"
"103","SP","CAIUÁ",34,34,34,33,32,34,32,33,32,33,32,32,32,33,32,32,"Low Risk","Low Risk","Low Risk"
"104","SP","CAJAMAR",10,10,11,10,9,10,9,10,9,11,9,9,10,11,10,10,"High Risk","High Risk","High Risk"
"105","SP","CAJATI",23,23,23,22,21,23,21,22,20,22,20,20,21,21,21,20,"Medium Risk","Medium Risk","Medium Risk"
"106","SP","CAJOBI",35,35,35,34,33,34,32,33,32,33,31,31,31,32,31,30,"Low Risk","Low Risk","Low Risk"
"107","SP","CAJURU",33,33,33,32,30,31,30,31,29,30,29,28,29,29,28,28,"Low Risk","Low Risk","Low Risk"
"108","SP","CAMPINA DO MONTE ALEGRE",30,31,31,30,29,30,28,30,28,29,28,27,28,29,28,27,"Medium Risk","Medium Risk","Medium Risk"
"109","SP","CAMPINAS",10,11,11,10,9,10,9,10,9,10,9,8,9,10,9,9,"High Risk","High Risk","High Risk"
"110","SP","CAMPO LIMPO PAULISTA",15,16,16,15,14,15,14,15,13,15,13,13,14,14,14,13,"High Risk","High Risk","High Risk"
"111","SP","CAMPOS DO JORDÃO",20,20,20,20,19,20,19,20,18,20,18,18,19,19,19,18,"High Risk","Medium Risk","High Risk"
"112","SP","CAMPOS NOVOS PAULISTA",34,34,34,33,32,33,32,33,31,33,31,31,32,32,32,31,"Low Risk","Low Risk","Low Risk"
"113","SP","CANANÉIA",27,28,28,27,26,27,25,26,25,26,25,24,25,25,25,24,"Medium Risk","Medium Risk","Medium Risk"
"114","SP","CANAS",27,27,28,27,26,27,26,27,25,27,25,25,25,26,26,25,"Medium Risk","Medium Risk","Medium Risk"
"115","SP","CÂNDIDO MOTA",30,31,31,30,28,30,28,29,27,29,27,27,27,28,27,27,"Medium Risk","Medium Risk","Medium Risk"
"116","SP","CÂNDIDO RODRIGUES",34,35,35,34,33,34,33,34,33,34,33,32,33,34,33,33,"Low Risk","Low Risk","Low Risk"
"117","SP","CANITAR",35,35,35,34,33,34,32,33,32,33,31,31,31,32,31,31,"Low Risk","Low Risk","Low Risk"
"118","SP","CAPÃO BONITO",25,25,26,25,24,25,23,25,23,24,23,23,23,24,23,23,"Medium Risk","Medium Risk","Medium Risk"
"119","SP","CAPELA DO ALTO",24,25,25,24,23,24,22,23,22,23,22,21,22,22,22,21,"Medium Risk","Medium Risk","Medium Risk"
"120","SP","CAPIVARI",23,24,24,23,22,23,22,23,21,23,21,21,21,22,21,21,"Medium Risk","Medium Risk","Medium Risk"
"121","SP","CARAGUATATUBA",17,18,18,17,16,17,16,17,15,17,15,15,16,16,16,15,"High Risk","High Risk","High Risk"
"122","SP","CARAPICUÍBA",7,7,7,6,5,7,5,7,5,7,5,5,6,6,6,5,"High Risk","High Risk","High Risk"
"123","SP","CARDOSO",33,34,34,33,32,33,31,33,31,32,31,30,31,32,31,31,"Low Risk","Low Risk","Low Risk"
