"Municipio","DRS","Minimo","Mediana","Máximo"
"BROTAS","Bauru",0.886959068263733,0.969192375167452,1.05680677256435
"OUROESTE","São José do Rio Preto",0.874848631341179,0.964898634803068,1.05802202090073
"IGARAPAVA","Franca",0.889041894375019,0.96443596017528,1.05738916829464
"IBATÉ","Araraquara",0.889554076434707,0.963207161945763,1.05609605414033
"BATATAIS","Ribeirão Preto",0.880922078851661,0.961277849307878,1.04718144436249
"IACANGA","Bauru",0.881541478207942,0.961251408372969,1.05250729759028
"CABRÁLIA PAULISTA","Bauru",0.884840154812995,0.960628738964965,1.05467978092115
"JABOTICABAL","Ribeirão Preto",0.897261815471976,0.958232597155069,1.06265166063449
"JABORANDI","Barretos",0.898804815901893,0.957741608269357,1.06021924631025
"PIRACICABA","Piracicaba",0.890935434012931,0.955860226510062,1.06185583139375
"IGARAÇU DO TIETÊ","Bauru",0.869363715883813,0.951564803581026,1.03428739953321
"ICÉM","São José do Rio Preto",0.886117996844167,0.949232035482628,1.04854543418839
"ROSANA","Presidente Prudente",0.860910875088086,0.948197142598436,1.02894808007008
"SUD MENNUCCI","Araçatuba",0.863458544417704,0.947605558460459,1.03075535584312
"MACATUBA","Bauru",0.883536719226424,0.947059116272219,1.04058803401604
"BIRIGUI","Araçatuba",0.864835839436188,0.944891921688005,1.03274311192775
"MONTEIRO LOBATO","Taubaté",0.864943457489836,0.944891346720758,1.02873790567964
"ITAPIRAPUÃ PAULISTA","Sorocaba",0.872730070025952,0.939918923716374,1.01866572876272
"PINHALZINHO","Campinas",0.875295671117333,0.939861321556422,1.03165235472937
"UBARANA","São José do Rio Preto",0.862093695605744,0.9385156293967,1.03275358551628
"GUARULHOS","Grande São Paulo",0.863915397138138,0.935986429328661,1.02974389082992
"ZACARIAS","São José do Rio Preto",0.876947215862009,0.9359422725432,1.0392437197187
"JACAREÍ","Taubaté",0.863134634893501,0.935514292520666,1.01491890262495
"TATUÍ","Sorocaba",0.860276858223057,0.935025117690932,1.02696356827299
"BARRETOS","Barretos",0.870263275130551,0.933538912827832,1.02798483535381
"PARIQUERA-AÇU","Registro",0.874341867637225,0.931952106175257,1.02971132447793
