DRS,Date,Infimo,Mediana,Sup,Regiao
II,2020-10-06,189.503921825198,320.29640865226,603.663074135609,Araçatuba
II,2020-10-07,189.735467766544,321.839102864656,609.713834396766,Araçatuba
II,2020-10-08,189.95849771981,323.349350112534,615.700205729319,Araçatuba
II,2020-10-09,190.173312240972,324.827685989052,621.62154429492,Araçatuba
II,2020-10-10,190.38020238967,326.274650537433,627.477270425309,Araçatuba
II,2020-10-11,190.579450022323,327.690786659209,633.266867992282,Araçatuba
II,2020-10-12,190.771328018285,329.076635265264,638.989874937322,Araçatuba
II,2020-10-13,190.956100600553,330.432737027316,644.64588910239,Araçatuba
II,2020-10-14,191.134023519122,331.759627052303,650.234556997301,Araçatuba
II,2020-10-15,191.30534425808,333.057832266759,655.755568434759,Araçatuba
II,2020-10-16,191.470302302672,334.327874017392,661.208663011231,Araçatuba
II,2020-10-17,191.629129462908,335.57027395226,666.593643753706,Araçatuba
II,2020-10-18,191.782050062544,336.785552843675,671.910374869797,Araçatuba
II,2020-10-19,191.929281087508,337.974226689031,677.158771795992,Araçatuba
II,2020-10-20,192.071032410451,339.136808353711,682.338804646887,Araçatuba
II,2020-10-21,192.207506919451,340.273803266328,687.450487057301,Araçatuba
II,2020-10-22,192.338900670081,341.385707339597,692.493869977635,Araçatuba
II,2020-10-23,192.465403088946,342.473009186054,697.469045617848,Araçatuba
II,2020-10-24,192.587197223698,343.536195128718,702.376157808981,Araçatuba
II,2020-10-25,192.704459895941,344.575748327746,707.215398886597,Araçatuba
II,2020-10-26,192.81736182901,345.592145638229,711.98700002893,Araçatuba
II,2020-10-27,192.926067834301,346.585859111575,716.691233305984,Araçatuba
II,2020-10-28,193.030736928299,347.557352512571,721.328401387474,Araçatuba
II,2020-10-29,193.131522469126,348.507079653008,725.898831391934,Araçatuba
II,2020-10-30,193.228572334135,349.435486276044,730.402877506158,Araçatuba
II,2020-10-31,193.322029132856,350.343014323645,734.840929345626,Araçatuba
II,2020-11-01,193.412030347174,351.230101292359,739.213408912742,Araçatuba
II,2020-11-02,193.498708454323,352.097177702381,743.520762040975,Araçatuba
II,2020-11-03,193.582191092785,352.944668449049,747.763460003841,Araçatuba
II,2020-11-04,193.662601175733,353.772989985283,751.941990745304,Araçatuba
II,2020-11-05,193.740057019051,354.58254897696,756.056853498854,Araçatuba
II,2020-11-06,193.814672500396,355.37374390663,760.108560996827,Araçatuba
II,2020-11-07,193.88655724368,356.146968708771,764.097646756927,Araçatuba
