Municipio,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo
APIAÍ,2020-08-15,2020-08-15,2020-08-15,0.030123251960986,0.0344265736696983,0.0401643359479813
TAIAÇU,2020-08-15,2020-08-15,2020-08-15,0.0663563016212909,0.0758357732814754,0.088475068828388
JAGUARIÚNA,2020-08-15,2020-08-15,2020-08-15,0.198108034000548,0.226409181714912,0.264144045334065
LIMEIRA,2020-08-15,2020-08-15,2020-08-15,4.13796455898427,4.72910235312489,5.5172860786457
AVAÍ,2020-08-15,2020-08-15,2020-08-15,0.00628087325040161,0.00717814085760182,0.00837449766720211
ARAMINA,2020-08-15,2020-08-15,2020-08-15,0.0255895286957075,0.0292451756522372,0.0341193715942767
RAFARD,2020-08-15,2020-08-15,2020-08-15,0.0388918118129205,0.0444477849290521,0.051855749083894
LUCIANÓPOLIS,2020-08-15,2020-08-15,2020-10-13,0.00565743842406543,0.00652781356622935,0.00796586928793541
SANTA SALETE,2020-08-15,2020-08-15,2020-08-15,0.00441975606810763,0.00505114979212307,0.00589300809081039
BOM JESUS DOS PERDÕES,2020-08-15,2020-08-15,2020-10-10,0.132125186118289,0.160476488203301,0.174498938470228
SUZANO,2020-08-15,2020-08-15,2020-08-15,1.36918091486541,1.56477818841762,1.82557455315387
OSCAR BRESSANE,2020-08-15,2020-08-15,2020-08-15,0.00358959975282128,0.00410239971751004,0.00478613300376171
ARCO-ÍRIS,2020-09-09,2020-09-19,2020-09-26,0.00814667949600581,0.0182235387196111,0.0305693641322007
IACANGA,2020-08-15,2020-08-15,2020-08-15,0.0636461822707362,0.0727384940236984,0.0848615763609815
UBATUBA,2020-08-15,2020-08-15,2020-08-15,0.317825238345471,0.363228843823393,0.423766984460627
SÃO SEBASTIÃO,2020-08-15,2020-08-15,2020-08-15,0.570376969242311,0.651859393419784,0.760502625656415
CRISTAIS PAULISTA,2020-08-15,2020-08-15,2020-08-15,0.00297552659252413,0.00340060182002758,0.00396736879003218
DESCALVADO,2020-08-15,2020-08-15,2020-08-15,0.0983924611973395,0.112448527082673,0.131189948263119
JÚLIO MESQUITA,2020-08-15,2020-08-15,2020-08-15,0.00156069554470495,0.00178365205109121,0.00208092739293986
JABOTICABAL,2020-08-15,2020-08-15,2020-08-15,0.449143692564746,0.513307077216851,0.598858256752994
JOSÉ BONIFÁCIO,2020-08-15,2020-08-15,2020-08-15,0.224283871307462,0.256324424351384,0.299045161743281
BORÁ,2020-08-15,2020-08-15,2020-08-15,0.00109248688129343,0.00124855643576392,0.00145664917505791
ICÉM,2020-08-15,2020-08-15,2020-08-15,0.0406985871271586,0.046512671002467,0.0542647828362115
CORDEIRÓPOLIS,2020-08-15,2020-08-15,2020-08-15,0.148550443028137,0.169771934889299,0.198067257370848
SÃO JOSÉ DO BARREIRO,2020-09-08,2020-09-16,2020-09-21,0.0325645137591614,0.0804258898077476,0.131474507701263
PALMARES PAULISTA,2020-08-15,2020-08-15,2020-08-15,0.284316075423458,0.324932657626809,0.37908810056461
ZACARIAS,2020-08-15,2020-08-15,2020-08-15,0.0193364327979713,0.0220987803405386,0.025781910397295
SÃO JOSÉ DO RIO PARDO,2020-08-15,2020-08-15,2020-08-15,0.193213511000931,0.22081544114392,0.257618014667907
SANTO ANTÔNIO DE POSSE,2020-08-15,2020-08-15,2020-08-15,0.290885521735622,0.332440596269282,0.387847362314163
