DRS,Date,Infimo,Mediana,Sup,Regiao
VI,2020-12-25,35366.8367837299,46233.2808557341,57611.4993341225,Bauru
VI,2020-12-26,35373.9289098929,46250.2215955199,57683.9198903361,Bauru
VI,2020-12-27,35380.7456840512,46266.5368895861,57754.1930002043,Bauru
VI,2020-12-28,35387.2992540258,46282.252644228,57822.3799397743,Bauru
VI,2020-12-29,35393.600893114,46297.3934300022,57888.538589725,Bauru
VI,2020-12-30,35399.660926293,46311.9824389055,57952.7224983729,Bauru
VII,2020-09-16,97352.1428571429,97352.1428571429,97352.1428571429,Campinas
VII,2020-09-17,97817.5238095239,98003.6761904762,98240.5974025974,Campinas
VII,2020-09-18,98267.0656548249,98631.4344128552,99098.6427138922,Campinas
VII,2020-09-19,98702.6437414013,99238.2779996591,99929.8533441259,Campinas
VII,2020-09-20,99125.4191123511,99826.1084279269,100736.592609598,Campinas
VII,2020-09-21,99536.1675891856,100396.285030614,101520.516693909,Campinas
VII,2020-09-22,89395.4577148335,100949.72172473,106046.441479573,Campinas
VII,2020-09-23,89742.4432906903,101487.031431919,106814.763490565,Campinas
VII,2020-09-24,90079.6803219574,102008.967918468,107562.048981725,Campinas
VII,2020-09-25,90407.472790469,102516.19102893,108289.024843857,Campinas
VII,2020-09-26,90726.1106410517,103009.321693578,108996.367635501,Campinas
VII,2020-09-27,91024.1870780264,103488.915047059,109684.667679319,Campinas
VII,2020-09-28,91310.2316800384,103955.499125528,110354.482472248,Campinas
VII,2020-09-29,91587.0364472333,104408.580397318,111006.209663801,Campinas
VII,2020-09-30,91855.0492182522,104835.445958788,111640.104394716,Campinas
VII,2020-10-01,92114.7195247226,105249.646465031,112257.331949523,Campinas
VII,2020-10-02,92366.4757185865,105651.791608579,112857.8818707,Campinas
VII,2020-10-03,92610.7287614411,106042.469583701,113442.160759309,Campinas
VII,2020-10-04,92847.8694584259,106422.230781748,114010.550907045,Campinas
VII,2020-10-05,93078.2716394814,106791.600484602,114563.408922231,Campinas
VII,2020-10-06,93302.2840666345,107151.038841961,115101.047704302,Campinas
VII,2020-10-07,93520.2318048027,107500.946352699,115623.738507448,Campinas
VII,2020-10-08,93732.4420613887,107841.784954143,116131.765322691,Campinas
VII,2020-10-09,93939.2250252587,108173.985775764,116625.387507971,Campinas
VII,2020-10-10,94140.8759802119,108497.959002954,117104.845899879,Campinas
VII,2020-10-11,94337.6725682208,108814.080672445,117570.359588244,Campinas
VII,2020-10-12,94529.876723593,109122.70200428,118022.132807216,Campinas
VII,2020-10-13,94717.7279345366,109424.117747168,118460.344792167,Campinas
VII,2020-10-14,94901.4439433453,109718.570200594,118885.154397927,Campinas
VII,2020-10-15,95081.2413708896,110006.34688816,119296.744694122,Campinas
VII,2020-10-16,95257.3202814548,110287.707340675,119695.296560053,Campinas
VII,2020-10-17,95429.8658405892,110562.891592798,120080.994872586,Campinas
VII,2020-10-18,95599.0462039711,110832.11048349,120464.962312214,Campinas
VII,2020-10-19,95765.0140351534,111095.553359701,120872.954630332,Campinas
VII,2020-10-20,95927.9012775376,111353.363825724,121273.04655234,Campinas
VII,2020-10-21,96087.8197887058,111605.643284682,121665.262376681,Campinas
VII,2020-10-22,96244.8787064032,111852.530996069,122049.706818153,Campinas
VII,2020-10-23,96399.1722210954,112094.146090855,122426.45827074,Campinas
VII,2020-10-24,96550.7814243538,112330.595386884,122795.583277281,Campinas
VII,2020-10-25,96699.7731879933,112561.966599579,123157.123511507,Campinas
VII,2020-10-26,96846.2018711257,112788.334916611,123511.108223214,Campinas
VII,2020-10-27,96990.1057286432,113009.744565488,123857.518096943,Campinas
VII,2020-10-28,97131.507921357,113226.211900044,124196.289736605,Campinas
VII,2020-10-29,97246.5176398874,113437.790591781,124527.442765257,Campinas
VII,2020-10-30,97348.8337622299,113644.525509643,124850.992282118,Campinas
VII,2020-10-31,97446.9938963015,113846.459362991,125166.960976462,Campinas
VII,2020-11-01,97541.140440977,114043.627478668,125475.368121858,Campinas
VII,2020-11-02,97631.414746296,114236.062854478,125776.238612328,Campinas
VII,2020-11-03,97717.9425133343,114423.781607963,126069.572778191,Campinas
VII,2020-11-04,97800.8351712955,114606.785092819,126355.348456927,Campinas
VII,2020-11-05,97880.2331098021,114785.111532771,126633.623490633,Campinas
VII,2020-11-06,97956.2722069997,114958.799080395,126904.462838053,Campinas
VII,2020-11-07,98029.0873609376,115127.890707076,127167.946917962,Campinas
VII,2020-11-08,98098.8072736299,115292.429479097,127424.160685045,Campinas
VII,2020-11-09,98165.5571623042,115452.461898948,127673.199105006,Campinas
VII,2020-11-10,98229.448380219,115608.025927752,127915.141255753,Campinas
VII,2020-11-11,98290.5797433794,115759.152029545,128150.050472757,Campinas
VII,2020-11-12,98349.0686953605,115905.902920975,128378.055094278,Campinas
VII,2020-11-13,98405.0274732857,116017.513275143,128599.288831776,Campinas
VII,2020-11-14,98458.565933607,116123.431507832,128813.896526412,Campinas
VII,2020-11-15,98509.7878657131,116225.328126812,129022.024044179,Campinas
VII,2020-11-16,98558.7931680134,116323.349758704,129223.821991945,Campinas
VII,2020-11-17,98605.6704999903,116417.623543472,129419.424432539,Campinas
VII,2020-11-18,98650.4985002876,116508.25889942,129608.948805014,Campinas
VII,2020-11-19,98693.3681884238,116595.396829958,129792.559210456,Campinas
VII,2020-11-20,98734.3659980798,116679.172490122,129970.419218087,Campinas
VII,2020-11-21,98773.5759811714,116759.719599355,130142.696538769,Campinas
VII,2020-11-22,98811.0771736956,116837.16451354,130309.554645265,Campinas
VII,2020-11-23,98846.9452825208,116911.629477469,130471.156027879,Campinas
VII,2020-11-24,98881.2474325012,116983.22061741,130627.645454689,Campinas
VII,2020-11-25,98914.0431923311,117052.029585185,130779.150470835,Campinas
VII,2020-11-26,98945.4006528473,117118.170136525,130925.830952443,Campinas
VII,2020-11-27,98975.3842935349,117181.750515237,131067.842524041,Campinas
VII,2020-11-28,99004.0566548315,117242.876961386,131205.340698411,Campinas
VII,2020-11-29,99031.4764292336,117301.649243471,131338.474258508,Campinas
VII,2020-11-30,99057.6997300936,117358.163277895,131467.388318117,Campinas
VII,2020-12-01,99082.7762996542,117417.690512929,131592.211339089,Campinas
VII,2020-12-02,99106.7503304359,117488.119721367,131713.056138214,Campinas
VII,2020-12-03,99129.6720142236,117556.145598865,131830.058596911,Campinas
VII,2020-12-04,99151.5888226693,117621.855797394,131943.349416327,Campinas
VII,2020-12-05,99172.5467574811,117685.336538016,132053.057738936,Campinas
VII,2020-12-06,99192.5889570533,117746.669667276,132159.305927322,Campinas
VII,2020-12-07,99211.7566360282,117805.934230446,132262.212310957,Campinas
VII,2020-12-08,99230.0863296911,117863.200723171,132361.881056047,Campinas
VII,2020-12-09,99247.6105359075,117918.531872442,132458.4033943,Campinas
VII,2020-12-10,99264.3660293378,117972.000086092,132551.887812999,Campinas
VII,2020-12-11,99280.387569515,118023.674483513,132642.438134291,Campinas
VII,2020-12-12,99295.708830164,118073.62268115,132730.15657527,Campinas
VII,2020-12-13,99310.3613795355,118121.908491812,132815.139574661,Campinas
VII,2020-12-14,99324.3753717111,118168.593267371,132897.480129287,Campinas
VII,2020-12-15,99337.7775351153,118213.731473969,132977.259804859,Campinas
VII,2020-12-16,99350.5916685418,118257.371454092,133054.549982588,Campinas
VII,2020-12-17,99362.8446431556,118299.568785411,133129.435423161,Campinas
VII,2020-12-18,99374.5618463925,118340.376378183,133201.997125525,Campinas
VII,2020-12-19,99385.76787188,118379.845931905,133272.314849701,Campinas
VII,2020-12-20,99396.4857725314,118418.026112759,133340.463750023,Campinas
VII,2020-12-21,99406.7375682123,118453.734442391,133406.516295421,Campinas
VII,2020-12-22,99416.5427723349,118482.016959882,133470.535916647,Campinas
VII,2020-12-23,99425.9187729496,118509.272614205,133532.57817103,Campinas
VII,2020-12-24,99434.8851775447,118535.541424632,133592.709186939,Campinas
VII,2020-12-25,99443.4605039024,118560.861359806,133650.99216719,Campinas
VII,2020-12-26,99451.6626925797,118585.26969691,133707.489443953,Campinas
VII,2020-12-27,99459.5085592872,118608.801340815,133762.259754975,Campinas
VII,2020-12-28,99467.0141677512,118631.489824869,133815.359793736,Campinas
VII,2020-12-29,99474.1937471688,118653.36410361,133866.839132961,Campinas
VII,2020-12-30,99481.0599840771,118674.449279299,133916.741269788,Campinas
VIII,2020-09-16,9306.28571428571,9306.28571428571,9306.28571428571,Franca
VIII,2020-09-17,9392.66666666667,9427.21904761905,9471.19480519481,Franca
VIII,2020-09-18,9479.06548551272,9547.7817515971,9636.10627626918,Franca
VIII,2020-09-19,9564.88507704467,9667.25509852636,9799.96648476896,Franca
VIII,2020-09-20,9649.76968409262,9785.21929864861,9962.10482126341,Franca
VIII,2020-09-21,9733.50371835261,9901.4342416053,10122.0927811436,Franca
VIII,2020-09-22,8780.68761260042,10015.7599232658,10657.9213935862,Franca
VIII,2020-09-23,8853.19620414211,10128.1131960992,10818.5816314723,Franca
VIII,2020-09-24,8924.41506424623,10238.465717438,10976.429808613,Franca
VIII,2020-09-25,8994.31198030122,10346.8137835679,11131.3993848542,Franca
VIII,2020-09-26,9061.122943331,10453.16952493,11283.4555626569,Franca
VIII,2020-09-27,9125.61789751801,10557.5545999763,11432.585954521,Franca
VIII,2020-09-28,9188.63342979311,10659.9959034702,11578.794299998,Franca
VIII,2020-09-29,9250.22520719733,10758.3388780685,11722.0946607343,Franca
VIII,2020-09-30,9310.44654849864,10854.1813691503,11862.5082436472,Franca
VIII,2020-10-01,9369.35047202298,10948.0382550418,12000.0654561666,Franca
VIII,2020-10-02,9426.98838699686,11039.9749809831,12134.8014586884,Franca
VIII,2020-10-03,9483.41020713011,11130.0560405265,12266.7544550552,Franca
VIII,2020-10-04,9538.66438441715,11218.3446852076,12395.9637774561,Franca
VIII,2020-10-05,9592.79793814971,11304.9026913856,12522.4680895416,Franca
VIII,2020-10-06,9645.85592302927,11389.787408095,12646.3025125943,Franca
VIII,2020-10-07,9697.88147482557,11473.0516893217,12767.4970759501,Franca
VIII,2020-10-08,9748.91762941251,11554.7521127542,12886.0786586013,Franca
VIII,2020-10-09,9799.00635601968,11634.9441298682,13002.0682871526,Franca
VIII,2020-10-10,9848.18857747482,11713.682176033,13115.4806632453,Franca
VIII,2020-10-11,9896.5040250783,11791.0189490246,13226.3237113369,Franca
VIII,2020-10-12,9943.9910832089,11867.00494562,13334.598865449,Franca
VIII,2020-10-13,9990.68614364452,11941.6857045584,13444.4975613442,Franca
VIII,2020-10-14,10036.6234331866,12015.101487029,13555.5732620701,Franca
VIII,2020-10-15,10081.8361572223,12087.2931782566,13665.0308735945,Franca
VIII,2020-10-16,10126.3555507411,12158.2983752529,13772.9022979233,Franca
VIII,2020-10-17,10170.2106395484,12228.151177395,13879.2151533518,Franca
VIII,2020-10-18,10213.4278371004,12296.8811279483,13983.9911740408,Franca
VIII,2020-10-19,10256.0306271887,12364.5127950526,14087.2457778299,Franca
VIII,2020-10-20,10297.1628545668,12431.0635691757,14188.9842707531,Franca
VIII,2020-10-21,10335.9392494251,12496.5436679381,14289.2022402313,Franca
VIII,2020-10-22,10374.0898649987,12560.9606739441,14387.8944951716,Franca
VIII,2020-10-23,10411.640879477,12624.3172022091,14485.0511677356,Franca
VIII,2020-10-24,10448.6170126416,12686.611287788,14580.658602168,Franca
VIII,2020-10-25,10485.0409228507,12747.8359721146,14674.6985282709,Franca
VIII,2020-10-26,10520.9330040177,12807.9798601753,14767.1489558443,Franca
VIII,2020-10-27,10553.1879785938,12867.0262902189,14857.9822188577,Franca
VIII,2020-10-28,10582.9335652208,12924.9544058405,14947.1666412824,Franca
VIII,2020-10-29,10611.6779388558,12981.7433403265,15034.6740214095,Franca
VIII,2020-10-30,10639.4404918957,13037.3715658851,15120.4778285505,Franca
VIII,2020-10-31,10666.2422745779,13091.8179965935,15204.5545206909,Franca
VIII,2020-11-01,10692.1051922587,13145.0621139788,15286.8828055603,Franca
VIII,2020-11-02,10717.0520804423,13197.0849535445,15367.4446152474,Franca
VIII,2020-11-03,10741.1055046774,13247.8687175853,15446.2233640427,Franca
VIII,2020-11-04,10764.2876706531,13297.3977502937,15523.2051146155,Franca
VIII,2020-11-05,10786.6228005755,13345.6615466234,15598.3838668312,Franca
VIII,2020-11-06,10808.135602734,13387.9822105459,15671.7595656087,Franca
VIII,2020-11-07,10828.8513264815,13426.5956329622,15743.338376866,Franca
VIII,2020-11-08,10848.7951065365,13463.9659354763,15813.131042997,Franca
VIII,2020-11-09,10867.9920215528,13500.1224819896,15881.1529029518,Franca
VIII,2020-11-10,10886.4661853163,13535.0937888579,15947.4215320643,Franca
VIII,2020-11-11,10904.2406657367,13568.9075997485,16011.9569492619,Franca
VIII,2020-11-12,10921.3393792315,13601.5945732778,16074.7854056705,Franca
VIII,2020-11-13,10937.7859146819,13633.1860896263,16135.9369661299,Franca
VIII,2020-11-14,10953.6036334989,13663.7143595423,16195.4452558911,Franca
VIII,2020-11-15,10968.8152485166,13693.2113715837,16253.3457362947,Franca
VIII,2020-11-16,10983.4429345687,13721.7090393819,16309.6755182268,Franca
VIII,2020-11-17,10997.5076928009,13749.2377280842,16364.4711515203,Franca
VIII,2020-11-18,11011.0293161219,13775.826297483,16417.7687119574,Franca
VIII,2020-11-19,11024.0279252533,13801.5051497804,16469.6072422746,Franca
VIII,2020-11-20,11036.5230747009,13826.3044148209,16520.0265138344,Franca
VIII,2020-11-21,11048.5338743093,13850.2540955075,16569.0669452202,Franca
VIII,2020-11-22,11060.0787249636,13873.3833333829,16616.7683904985,Franca
VIII,2020-11-23,11071.1754395591,13895.7206029006,16663.1701906517,Franca
VIII,2020-11-24,11081.8407902437,13917.2925902645,16708.3094444021,Franca
VIII,2020-11-25,11092.0904885729,13938.1242629334,16752.2212512831,Franca
VIII,2020-11-26,11101.9404003436,13958.2414329874,16794.9420248828,Franca
VIII,2020-11-27,11111.4058584711,13981.3166182881,16836.5075556725,Franca
VIII,2020-11-28,11120.5017725365,14004.8364271966,16876.9531288321,Franca
VIII,2020-11-29,11129.242452449,14027.6492563767,16916.3127396078,Franca
VIII,2020-11-30,11137.6417130977,14049.7786621151,16954.6192998964,Franca
VIII,2020-12-01,11145.7125426014,14071.2467688768,16991.9032782386,Franca
VIII,2020-12-02,11153.4670819751,14092.0744179277,17028.193002306,Franca
VIII,2020-12-03,11160.9175656486,14112.2828234155,17063.5176904097,Franca
VIII,2020-12-04,11168.0757926601,14131.8926153779,17097.9057528979,Franca
VIII,2020-12-05,11174.953214648,14150.9239266223,17131.3849712427,Franca
VIII,2020-12-06,11181.5608115207,14169.396055303,17163.9819478823,Franca
VIII,2020-12-07,11187.9091748335,14187.3276095555,17195.72234015,Franca
VIII,2020-12-08,11194.0082617394,14204.7358887961,17226.6297417872,Franca
VIII,2020-12-09,11199.8673726373,14221.6370348002,17256.72595909,Franca
VIII,2020-12-10,11205.4958706688,14238.0474786572,17286.0336587712,Franca
VIII,2020-12-11,11210.9027770357,14253.9831185511,17314.5748739296,Franca
VIII,2020-12-12,11216.0968391163,14269.4594144664,17342.3711706764,Franca
VIII,2020-12-13,11221.0864399657,14284.4911458463,17369.4432238235,Franca
VIII,2020-12-14,11225.8796632468,14299.0925479717,17395.811025323,Franca
VIII,2020-12-15,11230.4841103714,14313.2768072018,17421.4929445547,Franca
