"micro_reg_id","micro_reg_name","isolated","dt","ibge","ibge.conf","ibge.code"
"5913911b03205749cd160f15","Microrregião de Piracicaba",0.380338623604794,"2020-05-14","PIRACICABA","PIRACICABA","35028"
"59138d8d03205749cd051b8c","Microrregião Ponte Nova",0.429119499763251,"2020-05-14","PONTE NOVA","PONTE NOVA","31060"
"5913913d03205749cd16b479","Microrregião de Rosário Oeste",0.380570019283123,"2020-05-14","ROSÁRIO OESTE","ROSÁRIO OESTE","51016"
"5913914403205749cd16d5d6","Microrregião de Itaparica",0.437984661326119,"2020-05-14","ITAPARICA","ITAPARICA","26006"
"59138cf603205749cd028437","Microrregião Linhares",0.374827019056895,"2020-05-14","LINHARES","LINHARES","32006"
"5913913c03205749cd16b28d","Microrregião do Norte Araguaia",0.403403500394492,"2020-05-14","NORTE ARAGUAIA","NORTE ARAGUAIA","51009"
"59138d8303205749cd04f824","Microrregião Nova Friburgo",0.443675816754391,"2020-05-14","NOVA FRIBURGO","NOVA FRIBURGO","33007"
"5913910a03205749cd15b1ea","Microrregião Toledo",0.376181457525524,"2020-05-14","TOLEDO","TOLEDO","41022"
"59138e2803205749cd07f8a4","Microrregião de Adamantina",0.378709900770877,"2020-05-14","ADAMANTINA","ADAMANTINA","35035"
"5913914803205749cd16e4a3","Microrregião do Médio Mearim",0.458689325597429,"2020-05-14","MÉDIO MEARIM","MÉDIO MEARIM","21010"
"59138d8d03205749cd051b87","Microrregião Patos de Minas",0.396234355339617,"2020-05-14","PATOS DE MINAS","PATOS DE MINAS","31020"
"5913913c03205749cd16b295","Microrregião de Rondonópolis",0.374786961371278,"2020-05-14","RONDONÓPOLIS","RONDONÓPOLIS","51021"
"5913914403205749cd16d5d1","Microrregião de Salgueiro",0.43641587058024,"2020-05-14","SALGUEIRO","SALGUEIRO","26002"
"5913910e03205749cd15ccf5","Microrregião de Coari",0.506768139469666,"2020-05-14","COARI","COARI","13006"
"5913910303205749cd1590e2","Microrregião de Rio Branco",0.511420883254954,"2020-05-14","RIO BRANCO","RIO BRANCO","12004"
"5913913c03205749cd16b292","Microrregião de Tesouro",0.395942286192677,"2020-05-14","TESOURO","TESOURO","51020"
"5913913d03205749cd16b477","Microrregião do Alto Pantanal",0.38807660348389,"2020-05-14","ALTO PANTANAL","ALTO PANTANAL","51018"
"5913915703205749cd1739ef","Microrregião de Angicos",0.4064418195549,"2020-05-14","ANGICOS","ANGICOS","24009"
"591390cd03205749cd147753","Microrregião de Itapetinga",0.386141825085848,"2020-05-14","ITAPETINGA","ITAPETINGA","29029"
"591390be03205749cd1429f8","Microrregião de Vitória da Conquista",0.399268207020122,"2020-05-14","VITÓRIA DA CONQUISTA","VITÓRIA DA CONQUISTA","29028"
"5913913d03205749cd16b4b1","Microrregião de Alto Guaporé",0.419006288508442,"2020-05-14","ALTO GUAPORÉ","ALTO GUAPORÉ","51012"
"5913910403205749cd15950c","Microrregião Alvorada d'Oeste",0.478408420208381,"2020-05-14","ALVORADA D'OESTE","ALVORADA D'OESTE","11005"
"5913913d03205749cd16b713","Microrregião de Alta Floresta",0.426054725477822,"2020-05-14","ALTA FLORESTA","ALTA FLORESTA","51002"
"5913910e03205749cd15cd08","Microrregião do Alto Solimões",0.514655077356225,"2020-05-14","ALTO SOLIMÕES","ALTO SOLIMÕES","13003"
"59138b8703205749cdfcca10","Microrregião de Jaguarão",0.413738522715083,"2020-05-14","JAGUARÃO","JAGUARÃO","43034"
"5913913d03205749cd16b718","Microrregião de Alto Teles Pires",0.381466362942434,"2020-05-14","ALTO TELES PIRES","ALTO TELES PIRES","51006"
"59138d8303205749cd04f82b","Microrregião Bacia de São João",0.455401268398998,"2020-05-14","BACIA DE SÃO JOÃO","BACIA DE SÃO JOÃO","33009"
"5913914b03205749cd16f57a","Microrregião de Pio IX",0.418922092259868,"2020-05-14","PIO IX","PIO IX","22014"
"5913914b03205749cd16f433","Microrregião de Santana do Ipanema",0.417944051127724,"2020-05-14","SANTANA DO IPANEMA","SANTANA DO IPANEMA","27003"
"5913913d03205749cd16b71e","Microrregião de Sinop",0.377005275171485,"2020-05-14","SINOP","SINOP","51007"
"5913910403205749cd159528","Microrregião Vilhena",0.407735145032371,"2020-05-14","VILHENA","VILHENA","11007"
"5913913b03205749cd16ae59","Microrregião da Chapada dos Veadeiros",0.404406434612355,"2020-05-14","CHAPADA DOS VEADEIROS","CHAPADA DOS VEADEIROS","52005"
"5913915603205749cd1735fe","Microrregião de Pau dos Ferros",0.413903999132451,"2020-05-14","PAU DOS FERROS","PAU DOS FERROS","24006"
"59138b8a03205749cdfcdbdb","Microrregião de Porto Alegre",0.407718983314645,"2020-05-14","PORTO ALEGRE","PORTO ALEGRE","43026"
"5913915303205749cd172396","Microrregião de Uruburetama",0.517799669239558,"2020-05-14","URUBURETAMA","URUBURETAMA","23010"
"5913915703205749cd173afc","Microrregião de Borborema Potiguar",0.399408547725869,"2020-05-14","BORBOREMA POTIGUAR","BORBOREMA POTIGUAR","24014"
"591390bc03205749cd142628","Microrregião de Brumado",0.376615180030233,"2020-05-14","BRUMADO","BRUMADO","29027"
