PAIS,UF,COD_UF,COD_MUNIC,CD_GEOCMU,MUNICIPIO,POP2019
BRA,TO,17,13601,1713601,Monte do Carmo,7947
BRA,TO,17,13700,1713700,Monte Santo do Tocantins,2279
BRA,TO,17,13809,1713809,Palmeiras do Tocantins,6658
BRA,TO,17,13957,1713957,Muricilândia,3551
BRA,TO,17,14203,1714203,Natividade,9244
BRA,TO,17,14302,1714302,Nazaré,3898
BRA,TO,17,14880,1714880,Nova Olinda,11819
BRA,TO,17,15002,1715002,Nova Rosalândia,4260
BRA,TO,17,15101,1715101,Novo Acordo,4342
BRA,TO,17,15150,1715150,Novo Alegre,2332
BRA,TO,17,15259,1715259,Novo Jardim,2722
BRA,TO,17,15507,1715507,Oliveira de Fátima,1112
BRA,TO,17,15705,1715705,Palmeirante,6026
BRA,TO,17,15754,1715754,Palmeirópolis,7659
BRA,TO,17,16109,1716109,Paraíso do Tocantins,51252
BRA,TO,17,16208,1716208,Paranã,10449
BRA,TO,17,16307,1716307,Pau D'Arco,4849
BRA,TO,17,16505,1716505,Pedro Afonso,13578
BRA,TO,17,16604,1716604,Peixe,11749
BRA,TO,17,16653,1716653,Pequizeiro,5477
BRA,TO,17,16703,1716703,Colméia,8205
BRA,TO,17,17008,1717008,Pindorama do Tocantins,4447
BRA,TO,17,17206,1717206,Piraquê,3028
BRA,TO,17,17503,1717503,Pium,7654
BRA,TO,17,17800,1717800,Ponte Alta do Bom Jesus,4596
BRA,TO,17,17909,1717909,Ponte Alta do Tocantins,8039
BRA,TO,17,18006,1718006,Porto Alegre do Tocantins,3139
BRA,TO,17,18204,1718204,Porto Nacional,53010
BRA,TO,17,18303,1718303,Praia Norte,8432
BRA,TO,17,18402,1718402,Presidente Kennedy,3684
BRA,TO,17,18451,1718451,Pugmil,2688
BRA,TO,17,18501,1718501,Recursolândia,4293
BRA,TO,17,18550,1718550,Riachinho,4645
BRA,TO,17,18659,1718659,Rio da Conceição,2130
BRA,TO,17,18709,1718709,Rio dos Bois,2834
BRA,TO,17,18758,1718758,Rio Sono,6478
BRA,TO,17,18808,1718808,Sampaio,4711
BRA,TO,17,18840,1718840,Sandolândia,3375
BRA,TO,17,18865,1718865,Santa Fé do Araguaia,7512
BRA,TO,17,18881,1718881,Santa Maria do Tocantins,3434
BRA,TO,17,18899,1718899,Santa Rita do Tocantins,2365
BRA,TO,17,18907,1718907,Santa Rosa do Tocantins,4829
BRA,TO,17,19004,1719004,Santa Tereza do Tocantins,2866
BRA,TO,17,20002,1720002,Santa Terezinha do Tocantins,2529
BRA,TO,17,20101,1720101,São Bento do Tocantins,5324
BRA,TO,17,20150,1720150,São Félix do Tocantins,1585
BRA,TO,17,20200,1720200,São Miguel do Tocantins,12139
BRA,TO,17,20259,1720259,São Salvador do Tocantins,3082
BRA,TO,17,20309,1720309,São Sebastião do Tocantins,4805
BRA,TO,17,20499,1720499,São Valério,3960
BRA,TO,17,20655,1720655,Silvanópolis,5403
BRA,TO,17,20804,1720804,Sítio Novo do Tocantins,9029
BRA,TO,17,20853,1720853,Sucupira,1966
BRA,TO,17,20903,1720903,Taguatinga,16683
BRA,TO,17,20937,1720937,Taipas do Tocantins,2148
BRA,TO,17,20978,1720978,Talismã,2793
BRA,TO,17,21000,1721000,Palmas,299127
BRA,TO,17,21109,1721109,Tocantínia,7545
BRA,TO,17,21208,1721208,Tocantinópolis,22870
BRA,TO,17,21257,1721257,Tupirama,1891
BRA,TO,17,21307,1721307,Tupiratins,2671
BRA,TO,17,22081,1722081,Wanderlândia,11683
BRA,TO,17,22107,1722107,Xambioá,11540
BRA,MA,21,55,2100055,Açailândia,112445
BRA,MA,21,105,2100105,Afonso Cunha,6524
BRA,MA,21,154,2100154,Água Doce do Maranhão,12571
BRA,MA,21,204,2100204,Alcântara,22097
BRA,MA,21,303,2100303,Aldeias Altas,26532
BRA,MA,21,402,2100402,Altamira do Maranhão,8128
BRA,MA,21,436,2100436,Alto Alegre do Maranhão,27053
BRA,MA,21,477,2100477,Alto Alegre do Pindaré,31919
BRA,MA,21,501,2100501,Alto Parnaíba,11190
BRA,MA,21,550,2100550,Amapá do Maranhão,6962
BRA,MA,21,600,2100600,Amarante do Maranhão,41435
BRA,MA,21,709,2100709,Anajatuba,26803
BRA,MA,21,808,2100808,Anapurus,15732
BRA,MA,21,832,2100832,Apicum-Açu,17239
BRA,MA,21,873,2100873,Araguanã,15426
BRA,MA,21,907,2100907,Araioses,46440
BRA,MA,21,956,2100956,Arame,32701
BRA,MA,21,1004,2101004,Arari,29848
BRA,MA,21,1103,2101103,Axixá,12130
BRA,MA,21,1202,2101202,Bacabal,104949
BRA,MA,21,1251,2101251,Bacabeira,17055
BRA,MA,21,1301,2101301,Bacuri,18582
BRA,MA,21,1350,2101350,Bacurituba,5644
BRA,MA,21,1400,2101400,Balsas,94887
BRA,MA,21,1509,2101509,Barão de Grajaú,18820
BRA,MA,21,1608,2101608,Barra do Corda,88212
BRA,MA,21,1707,2101707,Barreirinhas,62528
BRA,MA,21,1731,2101731,Belágua,7469
BRA,MA,21,1772,2101772,Bela Vista do Maranhão,11209
BRA,MA,21,1806,2101806,Benedito Leite,5632
BRA,MA,21,1905,2101905,Bequimão,21280
BRA,MA,21,1939,2101939,Bernardo do Mearim,6043
BRA,MA,21,1970,2101970,Boa Vista do Gurupi,9287
BRA,MA,21,2002,2102002,Bom Jardim,41630
BRA,MA,21,2036,2102036,Bom Jesus das Selvas,34028
BRA,MA,21,2077,2102077,Bom Lugar,16294
BRA,MA,21,2101,2102101,Brejo,36397
BRA,MA,21,2150,2102150,Brejo de Areia,9188
BRA,MA,21,2200,2102200,Buriti,28678
BRA,MA,21,2309,2102309,Buriti Bravo,23884
BRA,MA,21,2325,2102325,Buriticupu,72358
BRA,MA,21,2358,2102358,Buritirana,15430
BRA,MA,21,2374,2102374,Cachoeira Grande,9431
BRA,MA,21,2408,2102408,Cajapió,11177
BRA,MA,21,2507,2102507,Cajari,19379
BRA,MA,21,2556,2102556,Campestre do Maranhão,14374
BRA,MA,21,2606,2102606,Cândido Mendes,20178
BRA,MA,21,2705,2102705,Cantanhede,21995
